fname,label
violin_G6_long_forte_molto-vibrato.wav,violin
violin_D4_1_forte_con-sord.wav,violin
violin_As3_phrase_mezzo-piano_arco-major-trill.wav,violin
violin_D5_1_pianissimo_arco-normal.wav,violin
violin_E5_1_mezzo-piano_non-vibrato.wav,violin
violin_Gs3_phrase_fortissimo_arco-au-talon.wav,violin
violin_Cs4_1_mezzo-forte_molto-vibrato.wav,violin
violin_Cs4_025_pianissimo_arco-col-legno-battuto.wav,violin
violin_Gs3_05_fortissimo_arco-normal.wav,violin
violin_Ds5_1_mezzo-forte_arco-sul-ponticello.wav,violin
violin_G5_05_fortissimo_arco-normal.wav,violin
violin_B6_1_mezzo-forte_natural-harmonic.wav,violin
violin_As3_phrase_mezzo-piano_arco-detache.wav,violin
violin_As3_025_mezzo-forte_arco-normal.wav,violin
violin_A6_1_mezzo-forte_artificial-harmonic.wav,violin
violin_D4_025_forte_arco-normal.wav,violin
violin_Fs7_05_forte_arco-normal.wav,violin
violin_Cs6_1_forte_arco-normal.wav,violin
violin_D4_05_mezzo-forte_arco-normal.wav,violin
violin_Gs6_025_piano_pizz-normal.wav,violin
violin_Cs7_15_mezzo-forte_arco-normal.wav,violin
violin_F7_025_forte_arco-normal.wav,violin
violin_Fs6_05_mezzo-piano_arco-normal.wav,violin
violin_E5_025_forte_snap-pizz.wav,violin
violin_B3_1_mezzo-forte_arco-normal.wav,violin
violin_Gs5_05_fortissimo_arco-au-talon.wav,violin
violin_Ds5_phrase_forte_arco-martele.wav,violin
violin_Gs3_025_piano_arco-col-legno-battuto.wav,violin
violin_Ds6_1_forte_arco-normal.wav,violin
violin_A3_025_forte_arco-normal.wav,violin
violin_G7_025_pianissimo_arco-normal.wav,violin
violin_B4_1_mezzo-forte_arco-sul-ponticello.wav,violin
violin_F4_phrase_mezzo-forte_arco-legato.wav,violin
violin_E5_phrase_mezzo-forte_arco-glissando.wav,violin
violin_Cs4_1_piano_arco-sul-ponticello.wav,violin
violin_B3_phrase_fortissimo_arco-au-talon.wav,violin
violin_C5_1_piano_arco-sul-ponticello.wav,violin
violin_Gs4_1_fortissimo_arco-normal.wav,violin
violin_B6_1_pianissimo_arco-normal.wav,violin
violin_D5_025_piano_arco-normal.wav,violin
